                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     79,                0.42825,                0.35209,                0.89715,                0.97907,                0.97087,                0.98955,                 0.8466,                0.59038,                0.36279,                0.95196,             0.00037974,             0.00037974,             0.00037974
                     80,                0.42427,                0.34941,                0.89155,                0.97677,                0.97087,                0.98933,                0.83057,                0.59196,                0.35306,                0.95541,             0.00036324,             0.00036324,             0.00036324
                     81,                0.42225,                0.34549,                0.87883,                0.98019,                0.96071,                0.98267,                0.83388,                 0.6091,                0.36473,                0.98047,             0.00034674,             0.00034674,             0.00034674
                     82,                0.41436,                0.32908,                0.88764,                0.98072,                0.98787,                0.99106,                0.85769,                0.58816,                0.35738,                0.94634,             0.00033023,             0.00033023,             0.00033023
                     83,                0.41887,                0.33076,                0.89002,                0.96184,                0.97884,                 0.9912,                0.84641,                0.60641,                0.35088,                0.92942,             0.00031373,             0.00031373,             0.00031373
                     84,                0.40876,                0.33202,                 0.8829,                0.98057,                0.97972,                0.98351,                0.84035,                0.59664,                0.34243,                0.92124,             0.00029723,             0.00029723,             0.00029723
                     85,                0.41422,                 0.3332,                 0.8879,                0.97913,                0.98058,                0.98584,                0.85369,                0.58794,                 0.3442,                0.92125,             0.00028072,             0.00028072,             0.00028072
                     86,                0.42404,                0.33761,                0.88914,                0.97971,                0.98058,                 0.9856,                 0.8556,                0.59859,                0.36111,                  0.933,             0.00026422,             0.00026422,             0.00026422
                     87,                0.40054,                0.32321,                 0.8897,                0.98004,                0.98058,                0.99039,                0.86508,                0.57165,                0.34365,                0.92192,             0.00024772,             0.00024772,             0.00024772
                     88,                0.40407,                0.31306,                0.87817,                 0.9799,                0.98058,                0.98936,                0.85075,                0.58603,                0.33922,                0.93311,             0.00023121,             0.00023121,             0.00023121
                     89,                0.36802,                0.30015,                0.88129,                0.98044,                0.98058,                0.98891,                0.86241,                0.56932,                0.33371,                0.93055,             0.00021471,             0.00021471,             0.00021471
                     90,                0.39193,                0.31088,                0.88355,                0.98058,                 0.9802,                0.98977,                0.86434,                0.56526,                0.33644,                0.92153,             0.00019821,             0.00019821,             0.00019821
                     91,                0.36285,                0.27879,                0.85205,                0.98075,                0.99029,                0.98578,                0.85062,                0.57352,                0.33123,                0.92233,              0.0001817,              0.0001817,              0.0001817
                     92,                0.35304,                0.26515,                 0.8346,                0.98076,                0.98979,                0.98604,                0.85236,                0.57514,                0.32688,                0.93533,              0.0001652,              0.0001652,              0.0001652
                     93,                 0.3619,                0.26716,                0.83819,                 0.9799,                0.98058,                0.98766,                0.84524,                0.58127,                 0.3351,                0.93846,              0.0001487,              0.0001487,              0.0001487
                     94,                 0.3551,                0.26337,                0.83082,                   0.98,                0.98058,                0.98662,                0.84921,                0.56991,                0.34229,                0.93201,             0.00013219,             0.00013219,             0.00013219
                     95,                 0.3446,                0.26444,                0.83588,                0.98075,                0.98946,                0.98608,                0.85943,                0.56248,                0.33379,                0.92539,             0.00011569,             0.00011569,             0.00011569
                     96,                0.35287,                0.26018,                0.85119,                0.98075,                0.98954,                0.98868,                0.85881,                0.57016,                0.33137,                0.92457,             9.9187e-05,             9.9187e-05,             9.9187e-05
                     97,                0.33775,                0.24719,                0.83453,                0.98075,                0.98952,                0.98802,                0.86101,                0.56437,                0.33448,                0.92495,             8.2683e-05,             8.2683e-05,             8.2683e-05
                     98,                 0.3331,                0.24848,                0.83447,                0.98076,                0.98965,                0.98761,                0.85952,                0.57575,                0.33354,                0.92877,              6.618e-05,              6.618e-05,              6.618e-05
                     99,                 0.3341,                0.24627,                0.82913,                0.98076,                0.98962,                0.98788,                0.85341,                0.56992,                0.32992,                0.92708,             4.9677e-05,             4.9677e-05,             4.9677e-05
                    100,                 0.3305,                 0.2461,                0.82039,                0.98006,                0.98058,                0.98924,                0.85041,                0.57073,                 0.3306,                0.92541,             3.3173e-05,             3.3173e-05,             3.3173e-05
